region,date,confirm,breakpoint
South West,2020-10-04,3,0
South West,2020-10-05,0,0
Wales,2020-10-05,10,0
Northern Ireland,2020-10-05,1,0
South West,2020-10-06,1,0
Wales,2020-10-06,4,0
Northern Ireland,2020-10-06,1,0
South West,2020-10-07,1,0
Wales,2020-10-07,11,0
Northern Ireland,2020-10-07,1,0
South West,2020-10-08,1,0
Wales,2020-10-08,6,0
Northern Ireland,2020-10-08,0,0
South West,2020-10-09,2,0
Wales,2020-10-09,6,0
Northern Ireland,2020-10-09,0,0
South West,2020-10-10,1,0
Wales,2020-10-10,3,0
Northern Ireland,2020-10-10,0,0
South West,2020-10-11,5,0
Wales,2020-10-11,4,0
Northern Ireland,2020-10-11,6,0
South West,2020-10-12,4,0
Wales,2020-10-12,4,0
Northern Ireland,2020-10-12,5,0
South West,2020-10-13,2,0
Wales,2020-10-13,8,0
Northern Ireland,2020-10-13,4,0
South West,2020-10-14,3,0
Wales,2020-10-14,7,0
Northern Ireland,2020-10-14,2,0
South West,2020-10-15,2,0
Wales,2020-10-15,7,0
Northern Ireland,2020-10-15,4,0
South West,2020-10-16,4,0
Wales,2020-10-16,6,0
Northern Ireland,2020-10-16,2,1
South West,2020-10-17,8,0
Wales,2020-10-17,4,0
Northern Ireland,2020-10-17,3,0
South West,2020-10-18,5,0
Wales,2020-10-18,11,0
Northern Ireland,2020-10-18,7,0
South West,2020-10-19,3,0
Wales,2020-10-19,13,0
Northern Ireland,2020-10-19,4,0
South West,2020-10-20,3,0
Wales,2020-10-20,4,0
Northern Ireland,2020-10-20,3,0
South West,2020-10-21,7,0
Wales,2020-10-21,13,0
Northern Ireland,2020-10-21,6,0
South West,2020-10-22,5,0
Wales,2020-10-22,28,0
Northern Ireland,2020-10-22,4,0
South West,2020-10-23,6,0
Wales,2020-10-23,11,0
Northern Ireland,2020-10-23,6,0
South West,2020-10-24,7,1
Wales,2020-10-24,14,1
Northern Ireland,2020-10-24,8,0
South West,2020-10-25,6,0
Wales,2020-10-25,16,0
Northern Ireland,2020-10-25,6,0
South West,2020-10-26,9,0
Wales,2020-10-26,15,0
Northern Ireland,2020-10-26,11,0
South West,2020-10-27,11,0
Wales,2020-10-27,23,0
Northern Ireland,2020-10-27,10,0
South West,2020-10-28,8,0
Wales,2020-10-28,11,0
Northern Ireland,2020-10-28,9,0
South West,2020-10-29,15,0
Wales,2020-10-29,21,0
Northern Ireland,2020-10-29,14,0
South West,2020-10-30,12,0
Wales,2020-10-30,14,0
Northern Ireland,2020-10-30,9,0
South West,2020-10-31,8,0
Wales,2020-10-31,11,0
Northern Ireland,2020-10-31,7,0
South West,2020-11-01,7,0
Wales,2020-11-01,27,0
Northern Ireland,2020-11-01,10,0
South West,2020-11-02,13,0
Wales,2020-11-02,15,0
Northern Ireland,2020-11-02,5,0
South West,2020-11-03,8,0
Wales,2020-11-03,20,0
Northern Ireland,2020-11-03,12,0
South West,2020-11-04,8,0
Wales,2020-11-04,20,0
Northern Ireland,2020-11-04,10,0
South West,2020-11-05,12,0
Wales,2020-11-05,28,0
Northern Ireland,2020-11-05,7,0
South West,2020-11-06,16,0
Wales,2020-11-06,23,0
Northern Ireland,2020-11-06,15,0
South West,2020-11-07,11,0
Wales,2020-11-07,13,0
Northern Ireland,2020-11-07,7,0
South West,2020-11-08,15,0
Wales,2020-11-08,27,0
Northern Ireland,2020-11-08,10,0
South West,2020-11-09,15,0
Wales,2020-11-09,26,0
Northern Ireland,2020-11-09,9,0
South West,2020-11-10,10,0
Wales,2020-11-10,27,0
Northern Ireland,2020-11-10,8,0
South West,2020-11-11,16,0
Wales,2020-11-11,25,0
Northern Ireland,2020-11-11,13,0
South West,2020-11-12,17,0
Wales,2020-11-12,17,0
Northern Ireland,2020-11-12,10,0
South West,2020-11-13,8,0
Wales,2020-11-13,7,0
Northern Ireland,2020-11-13,,0
South West,2020-11-14,,0
Wales,2020-11-14,,0
Northern Ireland,2020-11-14,,0
South West,2020-11-15,,0
Wales,2020-11-15,,0
Northern Ireland,2020-11-15,,0
Wales,2020-11-16,,0
Northern Ireland,2020-11-16,,0
